25/10/2022 02:49:55   |   926    |    1
25/10/2022 02:50:16   |   496    |    5
25/10/2022 02:51:08   |   917    |    1
25/10/2022 02:51:48   |   312    |    10
25/10/2022 03:12:08   |   692    |    1
25/10/2022 03:12:22   |   218    |    4
25/10/2022 03:12:37   |   891    |    2
25/10/2022 03:14:26   |   429    |    5
25/10/2022 03:15:30   |   472    |    2
25/10/2022 03:15:33   |   978    |    2
25/10/2022 03:26:39   |   741    |    4
25/10/2022 03:26:56   |   943    |    1
25/10/2022 11:13:26   |   634    |    4
25/10/2022 11:13:32   |   514    |    1
25/10/2022 13:43:27   |   382    |    2
